customer_id,tenure,monthly_charges,total_charges,num_products,contract_type,payment_method,internet_service,online_security,tech_support,paperless_billing,senior_citizen,gender,partner,dependents,phone_service,multiple_lines,streaming_tv,streaming_movies,device_protection,online_backup,churn
CUST00025,61,99.75,6632.76,1,One year,Mailed check,DSL,Yes,Yes,No,0,Male,Yes,No,Yes,No phone service,No,No,No,Yes,0
CUST00026,46,87.75,6586.65,2,One year,Electronic check,Fiber optic,Yes,Yes,Yes,0,Female,Yes,No,Yes,Yes,Yes,No,No internet service,Yes,1
CUST00027,61,74.69,1527.18,1,Month-to-month,Electronic check,Fiber optic,No internet service,No internet service,Yes,0,Female,Yes,Yes,Yes,Yes,No,No,No,No,0
CUST00028,50,67.51,5615.11,2,Month-to-month,Credit card,DSL,Yes,No internet service,No,0,Female,Yes,No,Yes,No,Yes,Yes,No,Yes,1
CUST00029,54,112.24,2339.33,3,Month-to-month,Bank transfer,Fiber optic,No internet service,No,No,0,Female,No,No,Yes,No,No,No internet service,Yes,No,0
CUST00030,63,27.27,2393.99,2,Month-to-month,Electronic check,DSL,Yes,No,Yes,0,Male,Yes,No,Yes,No,No,Yes,No,No,0
CUST00031,2,48.06,2384.86,3,Month-to-month,Mailed check,DSL,No internet service,No internet service,Yes,0,Male,No,No,Yes,No,Yes,No,No internet service,Yes,0
CUST00032,50,54.99,5810.03,1,Month-to-month,Credit card,Fiber optic,No,Yes,Yes,0,Female,Yes,No,Yes,Yes,No,No,Yes,No,0
CUST00033,6,98.24,1854.01,1,Month-to-month,Bank transfer,Fiber optic,Yes,No,No,0,Male,No,No,No,Yes,Yes,No,Yes,No,0
CUST00034,20,119.25,27.23,2,Two year,Electronic check,DSL,No,No,No,0,Male,No,No,Yes,No phone service,Yes,Yes,No internet service,Yes,0
CUST00035,38,44.07,5727.59,3,Month-to-month,Electronic check,Fiber optic,No,No,Yes,0,Female,No,Yes,No,Yes,Yes,Yes,No,No,1
CUST00036,17,107.43,1386.05,1,One year,Credit card,DSL,No,Yes,No,0,Male,No,No,Yes,No,No internet service,No,Yes,No,0
CUST00037,3,103.06,853.77,2,Month-to-month,Bank transfer,DSL,No,No,Yes,0,Female,No,Yes,Yes,Yes,No,No,No internet service,No,1
CUST00038,59,42.47,1915.38,2,Month-to-month,Bank transfer,DSL,No,No,Yes,0,Female,Yes,Yes,Yes,No,No,Yes,No,No,0
CUST00039,13,59.93,3051.61,2,Month-to-month,Credit card,DSL,No,No internet service,No,1,Male,Yes,No,Yes,No phone service,No,No,No,Yes,0
CUST00040,8,60.97,3817.73,1,Month-to-month,Electronic check,DSL,No,No,No,0,Female,Yes,No,Yes,Yes,No,Yes,Yes,Yes,1
CUST00041,52,117.82,375.67,3,Month-to-month,Electronic check,No,No,No internet service,No,0,Male,No,No,Yes,No,Yes,No,No,No,1
CUST00042,1,38.09,7765.18,1,Two year,Bank transfer,Fiber optic,No internet service,No internet service,Yes,0,Female,Yes,No,Yes,No,Yes,No,No internet service,No internet service,1
CUST00043,59,99.92,5734.18,4,Two year,Bank transfer,DSL,No internet service,No,No,0,Female,No,No,Yes,No,Yes,Yes,No,No,0
CUST00044,70,53.42,2599.09,4,Month-to-month,Mailed check,DSL,Yes,Yes,No,0,Female,No,No,Yes,No,Yes,No,No,No,0
CUST00045,43,93.09,2563.2,1,Month-to-month,Mailed check,DSL,Yes,No,No,0,Male,No,No,Yes,Yes,No,Yes,No,No,1
CUST00046,7,62.0,3599.37,3,Two year,Mailed check,Fiber optic,No,No internet service,Yes,0,Female,No,No,Yes,Yes,Yes,No,No internet service,No,1
CUST00047,46,77.84,5017.43,2,Month-to-month,Bank transfer,Fiber optic,No,Yes,Yes,0,Male,No,No,Yes,No,No,No,No,No internet service,0
CUST00048,34,103.26,1188.06,4,One year,Bank transfer,DSL,Yes,No,Yes,0,Female,No,No,Yes,No phone service,Yes,No,No internet service,No internet service,1
CUST00049,35,100.42,1527.66,4,Two year,Bank transfer,Fiber optic,Yes,Yes,No,0,Female,No,No,Yes,No,No,Yes,Yes,No,0
CUST00050,49,106.64,6878.29,1,Two year,Electronic check,Fiber optic,No,Yes,Yes,1,Female,Yes,Yes,No,Yes,No internet service,No internet service,No,No,0
CUST00051,3,25.96,2064.91,4,Month-to-month,Credit card,DSL,No,No,Yes,1,Female,No,Yes,Yes,Yes,Yes,No,No internet service,No,1
CUST00052,1,89.21,3053.96,4,Month-to-month,Bank transfer,Fiber optic,Yes,No,Yes,0,Female,No,Yes,No,No phone service,Yes,No,No,No,1
CUST00053,5,34.0,6972.75,2,Month-to-month,Electronic check,Fiber optic,No internet service,No,No,0,Male,Yes,No,Yes,No,Yes,Yes,No internet service,No,0
CUST00054,53,61.58,5311.92,2,Two year,Bank transfer,DSL,No,No internet service,Yes,0,Female,Yes,No,Yes,No,Yes,No,No,No,1
CUST00055,3,74.86,2746.86,3,Two year,Credit card,Fiber optic,No,Yes,Yes,0,Female,Yes,No,Yes,No,Yes,No,No,Yes,1
CUST00056,53,60.27,5475.92,4,One year,Bank transfer,Fiber optic,No,Yes,Yes,0,Male,Yes,No,Yes,No,Yes,No,No internet service,Yes,0
CUST00057,62,71.96,177.07,3,One year,Electronic check,Fiber optic,Yes,No internet service,No,0,Female,No,No,Yes,Yes,No internet service,No internet service,Yes,Yes,0
CUST00058,17,119.65,5890.43,3,One year,Bank transfer,DSL,No,No,Yes,0,Male,Yes,Yes,Yes,No,No,Yes,No,No,0
CUST00059,43,33.52,3906.39,2,One year,Bank transfer,Fiber optic,Yes,Yes,Yes,0,Male,Yes,No,Yes,No phone service,No internet service,Yes,Yes,Yes,1
CUST00060,33,87.55,6509.19,2,Two year,Bank transfer,Fiber optic,Yes,No,Yes,0,Male,No,Yes,Yes,No,No,No,No,No internet service,0
CUST00061,61,59.6,7638.01,1,One year,Mailed check,Fiber optic,No,No internet service,No,1,Male,Yes,No,Yes,Yes,No internet service,Yes,No,No,0
CUST00062,13,33.3,7407.79,2,Month-to-month,Bank transfer,Fiber optic,Yes,No,No,0,Male,Yes,No,Yes,Yes,No internet service,No,Yes,Yes,0
CUST00063,47,35.87,7275.94,3,Month-to-month,Electronic check,DSL,No,No,Yes,0,Male,No,No,Yes,Yes,No internet service,No,Yes,No internet service,0
CUST00064,14,114.93,4107.12,4,One year,Electronic check,Fiber optic,No,Yes,Yes,0,Male,No,No,Yes,No phone service,Yes,No,No internet service,No,0
CUST00065,71,107.96,2893.93,3,Month-to-month,Electronic check,Fiber optic,Yes,Yes,Yes,0,Male,Yes,No,Yes,Yes,No,No,No internet service,No,0
CUST00066,61,110.7,3730.98,3,Month-to-month,Bank transfer,Fiber optic,Yes,No internet service,No,0,Male,No,No,Yes,No,No,No,No internet service,No,0
CUST00067,39,119.15,5525.37,3,Two year,Credit card,No,No,No,No,0,Male,No,Yes,Yes,Yes,No,No,No,No,0
CUST00068,52,40.83,7074.3,2,One year,Electronic check,No,Yes,Yes,No,0,Male,No,No,Yes,Yes,No,No,No,No,0
CUST00069,23,55.54,1671.75,3,Two year,Mailed check,DSL,No,No,No,1,Male,Yes,Yes,Yes,No,No,No,No internet service,No,0
CUST00070,25,86.92,7347.18,1,Month-to-month,Credit card,No,No,No,Yes,0,Female,Yes,No,Yes,No,No internet service,Yes,No,No,1
CUST00071,59,68.38,6525.14,4,One year,Electronic check,Fiber optic,No internet service,Yes,Yes,0,Female,No,No,Yes,Yes,No internet service,No internet service,No internet service,No,0
CUST00072,40,61.84,7831.27,2,Month-to-month,Bank transfer,Fiber optic,No internet service,No,No,0,Female,No,No,Yes,Yes,No internet service,No,Yes,Yes,0
CUST00073,28,55.78,7044.41,3,Two year,Mailed check,No,No,Yes,No,1,Male,No,No,Yes,No,No,No internet service,No,No internet service,0
CUST00074,14,79.38,2253.9,1,Month-to-month,Electronic check,Fiber optic,Yes,No,No,0,Male,Yes,Yes,Yes,Yes,No,No,No,No internet service,0
CUST00075,44,77.56,865.53,4,One year,Mailed check,Fiber optic,No,No,Yes,0,Female,Yes,Yes,Yes,No phone service,No,No,No,No internet service,0
CUST00076,64,36.15,915.68,3,One year,Credit card,No,Yes,Yes,No,0,Male,Yes,Yes,Yes,Yes,No,Yes,Yes,No,0
CUST00077,70,67.17,2343.96,4,Month-to-month,Electronic check,DSL,Yes,Yes,No,0,Male,Yes,Yes,No,No,No internet service,No internet service,No,No internet service,1
CUST00078,8,75.35,4921.19,2,Two year,Bank transfer,DSL,No,No internet service,No,0,Female,Yes,No,Yes,Yes,No internet service,Yes,Yes,No,0
CUST00079,0,77.03,6438.48,2,Two year,Mailed check,Fiber optic,No,No,No,0,Male,Yes,No,Yes,Yes,No,No,No,No,0
CUST00080,7,41.01,7196.02,1,Month-to-month,Electronic check,No,Yes,No,No,0,Female,No,No,Yes,No,No internet service,No internet service,No,No,1
CUST00081,62,94.23,4997.55,2,Month-to-month,Credit card,No,Yes,Yes,Yes,0,Female,Yes,No,Yes,Yes,No,No internet service,No,No,0
CUST00082,10,22.52,64.94,1,Month-to-month,Credit card,DSL,No,No,No,0,Male,Yes,No,Yes,No,No,Yes,No internet service,No,1
CUST00083,7,55.48,1506.81,3,Month-to-month,Electronic check,No,No internet service,No,No,0,Male,Yes,No,Yes,No,No internet service,Yes,Yes,Yes,0
CUST00084,34,98.02,815.82,4,Two year,Credit card,DSL,No,Yes,Yes,0,Male,No,Yes,Yes,Yes,No,Yes,No internet service,Yes,0
CUST00085,34,76.39,2919.33,2,Two year,Mailed check,No,No,No,No,1,Female,No,No,Yes,No,Yes,No,No,No internet service,0
CUST00086,32,46.12,4020.78,4,Month-to-month,Mailed check,Fiber optic,No internet service,No,No,0,Male,No,Yes,Yes,No,No,No,Yes,Yes,0
CUST00087,4,89.5,366.31,4,Month-to-month,Mailed check,DSL,No,No,No,0,Male,No,No,Yes,No,No,Yes,Yes,Yes,1
CUST00088,40,76.74,2800.85,3,Month-to-month,Mailed check,DSL,No,Yes,Yes,0,Male,No,No,Yes,No phone service,Yes,Yes,No internet service,Yes,0
CUST00089,27,99.62,1449.85,3,Month-to-month,Credit card,DSL,No,Yes,No,0,Female,No,No,Yes,Yes,Yes,No,No internet service,No,1
CUST00090,6,93.5,5183.62,2,Month-to-month,Electronic check,DSL,Yes,No internet service,Yes,0,Male,No,Yes,Yes,Yes,No internet service,Yes,Yes,No,1
CUST00091,71,81.01,3724.89,3,Month-to-month,Credit card,Fiber optic,No,No internet service,Yes,1,Male,No,No,Yes,Yes,No internet service,No internet service,Yes,No,0
CUST00092,11,68.82,3972.63,4,Month-to-month,Credit card,DSL,Yes,No,No,0,Female,Yes,Yes,Yes,No phone service,No,No,No,No,0
CUST00093,33,33.32,3432.98,1,One year,Electronic check,No,No,No,Yes,0,Male,Yes,No,Yes,Yes,No,No internet service,No,Yes,0
CUST00094,32,46.13,7649.04,1,One year,Electronic check,Fiber optic,No,No,No,0,Male,Yes,No,Yes,Yes,Yes,No internet service,No internet service,Yes,0
CUST00095,47,61.91,1733.59,1,Month-to-month,Bank transfer,Fiber optic,Yes,Yes,Yes,0,Female,Yes,No,Yes,No,No,No,No,No,0
CUST00096,22,79.93,4142.98,2,Two year,Mailed check,DSL,No internet service,Yes,Yes,1,Male,No,Yes,Yes,No phone service,No,No,No internet service,Yes,0
CUST00097,61,71.37,5893.42,3,One year,Electronic check,No,Yes,No,Yes,1,Male,Yes,No,Yes,No phone service,No,No internet service,Yes,No internet service,0
CUST00098,36,48.82,4463.62,3,Two year,Credit card,Fiber optic,No,No,No,0,Male,Yes,No,Yes,No,No,No internet service,Yes,No,1
CUST00099,43,20.65,7433.59,3,Month-to-month,Mailed check,No,No,No,No,0,Female,Yes,Yes,Yes,No,Yes,No,No internet service,No,0
CUST00100,34,69.62,3036.19,3,Two year,Mailed check,No,No,No internet service,Yes,1,Female,Yes,No,No,Yes,No internet service,No,No,Yes,0
CUST00101,64,48.56,3720.13,4,Two year,Credit card,DSL,No,No,No,0,Female,Yes,No,Yes,No,No,No,No,No internet service,1
CUST00102,46,93.46,726.41,1,Month-to-month,Electronic check,DSL,No,No internet service,Yes,1,Female,No,Yes,Yes,Yes,No,No internet service,No,No,0
CUST00103,2,22.39,4879.81,4,Month-to-month,Mailed check,No,No internet service,No internet service,No,0,Male,Yes,Yes,Yes,No,Yes,No internet service,No,No,1
CUST00104,0,78.48,2319.93,2,Two year,Mailed check,No,No internet service,No internet service,Yes,0,Female,No,Yes,Yes,Yes,No,No,No internet service,No,0
CUST00105,4,114.15,1299.27,1,One year,Mailed check,Fiber optic,No,No,No,0,Male,No,Yes,Yes,No,Yes,Yes,No internet service,No internet service,0
CUST00106,13,37.44,4365.36,1,Two year,Mailed check,Fiber optic,No,Yes,Yes,0,Male,No,Yes,Yes,Yes,No internet service,Yes,No,Yes,0
CUST00107,26,67.16,4267.84,4,One year,Mailed check,Fiber optic,Yes,No,No,0,Male,Yes,Yes,Yes,No,No internet service,No,Yes,Yes,0
CUST00108,8,29.14,625.46,2,One year,Credit card,DSL,No internet service,No,No,0,Male,No,Yes,Yes,No,Yes,Yes,Yes,Yes,0
CUST00109,14,82.57,5591.76,2,Month-to-month,Electronic check,DSL,No internet service,No,No,0,Female,Yes,Yes,Yes,Yes,No,Yes,Yes,No,0
CUST00110,41,75.05,4997.7,1,Month-to-month,Electronic check,Fiber optic,No,No internet service,No,1,Male,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,1
CUST00111,50,60.74,1528.36,3,Two year,Mailed check,DSL,No,No internet service,No,0,Female,Yes,No,No,Yes,No internet service,Yes,Yes,No,0
CUST00112,62,72.14,3766.09,2,Month-to-month,Mailed check,Fiber optic,No,No,Yes,0,Female,No,No,Yes,No phone service,Yes,No,Yes,No,1
CUST00113,51,109.66,5768.18,4,Month-to-month,Mailed check,No,Yes,No,Yes,0,Female,Yes,No,Yes,No phone service,Yes,Yes,No,No,0
CUST00114,3,39.63,4244.9,2,One year,Credit card,No,No internet service,No internet service,No,0,Male,Yes,Yes,Yes,Yes,Yes,No internet service,No,No,1
CUST00115,22,22.26,3176.0,1,One year,Credit card,No,No,Yes,No,0,Female,No,No,Yes,Yes,No,Yes,No internet service,No,0
CUST00116,14,106.17,2592.26,3,Month-to-month,Bank transfer,No,No,Yes,Yes,0,Male,No,No,Yes,No,Yes,No,Yes,No internet service,0
CUST00117,42,77.71,4890.94,2,Month-to-month,Mailed check,Fiber optic,No,No internet service,No,0,Male,Yes,No,Yes,No,No,No internet service,No,Yes,0
CUST00118,28,109.07,7514.09,1,Month-to-month,Bank transfer,No,No internet service,No,No,0,Female,No,No,Yes,Yes,No,No,No,No,1
CUST00119,35,79.69,5380.52,2,Month-to-month,Bank transfer,No,No,No,No,0,Male,No,No,No,No phone service,No,No internet service,No,No,0
CUST00120,12,101.02,616.47,3,One year,Bank transfer,No,Yes,No internet service,No,0,Female,No,No,Yes,No phone service,No,Yes,No,Yes,0
CUST00121,31,62.97,3696.27,4,Month-to-month,Electronic check,Fiber optic,No,No,Yes,0,Male,Yes,No,Yes,Yes,Yes,No internet service,Yes,No,1
CUST00122,70,94.99,7128.78,1,Two year,Bank transfer,DSL,No internet service,No,No,0,Male,No,No,Yes,No,No internet service,Yes,No,No internet service,0
CUST00123,58,111.3,773.81,1,Two year,Mailed check,DSL,No,No,Yes,0,Male,Yes,No,Yes,Yes,Yes,No internet service,No,No,1
CUST00124,27,77.21,7911.23,3,One year,Credit card,DSL,No internet service,Yes,Yes,0,Male,Yes,Yes,Yes,No,No internet service,No,Yes,Yes,0
CUST00125,65,38.08,7593.57,1,Month-to-month,Mailed check,No,No internet service,Yes,Yes,0,Female,Yes,No,Yes,No,No,Yes,No,No internet service,1
CUST00126,41,46.88,644.63,3,Month-to-month,Credit card,Fiber optic,No,No internet service,Yes,1,Female,Yes,No,Yes,No,No,No,Yes,No,0
CUST00127,44,39.86,7468.64,1,Month-to-month,Electronic check,No,No,Yes,No,0,Female,Yes,No,Yes,No,Yes,No,No,No,1
CUST00128,61,44.69,2917.8,3,Month-to-month,Electronic check,Fiber optic,No,Yes,Yes,0,Male,No,Yes,Yes,No phone service,Yes,Yes,Yes,No,0
CUST00129,56,50.64,6760.78,2,Two year,Mailed check,Fiber optic,No,No,No,0,Male,Yes,Yes,Yes,No,No,No internet service,Yes,Yes,0
CUST00130,5,75.51,3358.7,2,Month-to-month,Electronic check,DSL,No,Yes,No,0,Male,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,0
CUST00131,27,78.8,3538.02,2,Two year,Credit card,DSL,No,No internet service,Yes,1,Female,Yes,No,Yes,Yes,No,Yes,No,Yes,0
CUST00132,27,62.65,5081.26,1,Month-to-month,Electronic check,Fiber optic,No,Yes,Yes,0,Female,No,Yes,Yes,No,No,No internet service,Yes,No,0
CUST00133,43,81.54,6200.33,3,Month-to-month,Bank transfer,Fiber optic,No,No,No,0,Female,Yes,Yes,Yes,Yes,Yes,Yes,No internet service,No internet service,0
CUST00134,29,28.16,289.64,3,Two year,Bank transfer,DSL,No,No,No,0,Female,No,No,Yes,Yes,Yes,Yes,Yes,No,0
CUST00135,61,28.78,4753.38,4,One year,Electronic check,Fiber optic,No,No internet service,Yes,0,Female,No,No,Yes,No,No internet service,No internet service,Yes,Yes,0
CUST00136,61,37.18,1510.13,2,Month-to-month,Mailed check,Fiber optic,No,No,Yes,0,Male,No,No,Yes,Yes,No,No,Yes,No,0
CUST00137,0,71.81,2780.68,4,Month-to-month,Bank transfer,No,No,No,No,1,Female,Yes,No,Yes,No,No internet service,No,No,No internet service,1
CUST00138,26,41.4,2796.79,2,Month-to-month,Credit card,DSL,No internet service,No internet service,Yes,0,Male,Yes,No,Yes,Yes,Yes,No,No,Yes,0
CUST00139,61,48.33,3763.1,4,One year,Mailed check,Fiber optic,No,Yes,Yes,0,Female,Yes,Yes,No,No,Yes,No,No internet service,No internet service,0
CUST00140,2,60.03,2686.41,2,Month-to-month,Electronic check,DSL,Yes,No,No,0,Male,No,No,Yes,No,No,No internet service,Yes,No,1
CUST00141,69,101.19,876.74,3,One year,Mailed check,Fiber optic,No,No internet service,No,1,Male,Yes,No,Yes,No phone service,No internet service,No,No,Yes,1
CUST00142,71,21.39,1182.12,2,One year,Mailed check,Fiber optic,Yes,No,No,0,Female,Yes,Yes,No,Yes,No,No,No internet service,No,0
CUST00143,26,84.94,286.84,1,Two year,Mailed check,Fiber optic,No,No,No,1,Male,No,No,Yes,No,No,Yes,No,Yes,1
CUST00144,8,86.89,3772.59,2,Month-to-month,Mailed check,No,Yes,Yes,No,0,Male,Yes,No,Yes,No,Yes,No,Yes,No internet service,0
CUST00145,61,99.87,7636.49,2,Month-to-month,Electronic check,DSL,No internet service,Yes,No,1,Male,No,No,Yes,No phone service,No internet service,No,No internet service,No internet service,0
CUST00146,36,113.28,943.09,3,One year,Electronic check,DSL,Yes,Yes,Yes,1,Male,Yes,Yes,Yes,Yes,No,No,No,No,0
CUST00147,50,22.01,7571.19,1,Month-to-month,Bank transfer,Fiber optic,No,No internet service,No,0,Male,Yes,No,Yes,Yes,Yes,Yes,Yes,No,0
CUST00148,43,35.38,5872.22,3,Month-to-month,Bank transfer,Fiber optic,Yes,No internet service,No,0,Male,No,No,Yes,Yes,No,No internet service,Yes,Yes,0
CUST00149,23,108.62,5107.24,4,Month-to-month,Credit card,DSL,No internet service,No,No,0,Male,No,No,Yes,No,Yes,Yes,No,No,0
CUST00150,58,65.85,5169.32,4,Month-to-month,Credit card,Fiber optic,No,Yes,Yes,0,Male,Yes,No,Yes,No,No,Yes,No,Yes,1
CUST00151,31,76.46,6617.29,1,Month-to-month,Bank transfer,DSL,No internet service,Yes,Yes,0,Male,Yes,No,Yes,No,No,Yes,Yes,No,0
CUST00152,51,86.3,873.22,4,Month-to-month,Bank transfer,DSL,No,No,No,0,Female,Yes,No,Yes,Yes,Yes,No,Yes,Yes,0
CUST00153,61,87.91,4047.94,1,Two year,Mailed check,Fiber optic,No,No,No,0,Female,No,Yes,Yes,No,Yes,Yes,Yes,No,0
CUST00154,57,113.17,5582.79,2,One year,Bank transfer,No,No internet service,No,Yes,0,Male,Yes,No,Yes,No,No,No internet service,No internet service,Yes,0
CUST00155,51,119.69,4702.83,4,Month-to-month,Credit card,Fiber optic,Yes,No internet service,Yes,0,Female,Yes,No,No,No,No,No internet service,Yes,Yes,0
CUST00156,11,92.02,6665.58,2,Month-to-month,Bank transfer,Fiber optic,No,No,No,1,Male,No,No,Yes,No,No,Yes,No,No,1
CUST00157,38,48.72,596.73,3,One year,Mailed check,No,Yes,No,Yes,0,Female,Yes,No,Yes,No,No,No,No,No,0
CUST00158,1,107.98,5531.79,4,Two year,Credit card,DSL,No,No,Yes,0,Female,Yes,No,Yes,Yes,Yes,Yes,No,No,0
CUST00159,2,24.92,4281.54,3,Month-to-month,Electronic check,Fiber optic,No internet service,No,Yes,0,Female,Yes,No,Yes,No phone service,No,No,No,Yes,0
CUST00160,55,43.11,3045.7,3,Two year,Bank transfer,No,No internet service,No,No,0,Female,No,Yes,Yes,Yes,No internet service,No,No,Yes,0
CUST00161,58,109.74,2735.39,1,One year,Electronic check,DSL,Yes,No,Yes,0,Female,Yes,No,Yes,No phone service,No,No internet service,No,Yes,0
CUST00162,1,45.62,4974.24,3,Month-to-month,Credit card,Fiber optic,No,Yes,Yes,1,Male,No,No,Yes,No,Yes,Yes,No,No,0
CUST00163,1,42.07,7130.14,1,Two year,Bank transfer,No,No,No,No,0,Male,Yes,No,Yes,No,No,No internet service,Yes,Yes,0
CUST00164,53,33.81,3979.48,1,One year,Electronic check,No,Yes,No internet service,Yes,0,Male,No,No,Yes,Yes,Yes,No internet service,No,No internet service,0
CUST00165,0,105.91,6601.29,1,Two year,Bank transfer,DSL,Yes,No,Yes,0,Male,No,No,Yes,No phone service,Yes,No,Yes,No internet service,1
CUST00166,18,70.01,3229.21,1,Month-to-month,Electronic check,DSL,No,No internet service,Yes,0,Male,No,No,Yes,Yes,No,No,No,No internet service,1
CUST00167,1,87.49,837.11,1,One year,Electronic check,DSL,No internet service,Yes,No,0,Male,No,No,Yes,No,Yes,No,No,No internet service,1
CUST00168,52,43.91,510.82,2,One year,Credit card,Fiber optic,No,No,No,0,Female,No,No,Yes,No,No internet service,Yes,No,No,0
CUST00169,43,95.8,429.65,1,Month-to-month,Bank transfer,Fiber optic,No,No internet service,No,0,Male,No,No,Yes,Yes,No,No,No,No internet service,0
CUST00170,31,96.0,3053.6,4,One year,Electronic check,Fiber optic,No,No,Yes,0,Male,Yes,No,Yes,No phone service,No,No,No internet service,No,0
CUST00171,69,51.26,2711.16,1,Month-to-month,Bank transfer,No,No,No internet service,Yes,0,Female,No,No,Yes,No,Yes,Yes,No,No,0
CUST00172,31,61.07,5749.14,2,Month-to-month,Bank transfer,DSL,No internet service,No,Yes,0,Female,Yes,No,Yes,No,No,No,Yes,No,0
CUST00173,67,40.97,5947.72,4,Month-to-month,Mailed check,No,No,Yes,No,0,Female,Yes,No,No,No phone service,Yes,Yes,No,No,1
CUST00174,54,117.66,425.81,4,One year,Credit card,DSL,Yes,Yes,No,0,Female,No,No,Yes,No,Yes,No,No,Yes,0
CUST00175,55,84.56,1784.56,2,Two year,Bank transfer,DSL,No,No,Yes,0,Male,Yes,No,Yes,No,No internet service,No,Yes,No,0
CUST00176,16,113.45,2208.61,4,Month-to-month,Bank transfer,Fiber optic,No internet service,No internet service,No,0,Male,Yes,No,Yes,No,No internet service,No,No,No internet service,0
CUST00177,37,50.34,4389.94,2,One year,Bank transfer,DSL,No,Yes,No,0,Female,Yes,No,Yes,No,No internet service,Yes,No,No,0
CUST00178,23,98.19,1173.23,3,Month-to-month,Credit card,Fiber optic,No,No,Yes,1,Male,No,Yes,Yes,Yes,Yes,No internet service,No,No,1
